"","Scientific_Name","Common_Name","Class","PresentInLPI","PresentInRL","Population_Trend","IUCN_Category","IUCN_Criteria","Generation_Length_Years","Generation_Length_Days","PercentDecrease10YMin","PercentDecreaseMin","PercentDecrease3GMin","PercentDecrease10YMid","PercentDecreaseMid","PercentDecrease3GMid","PercentDecrease10YMax","PercentDecreaseMax","PercentDecrease3GMax","Lambda10YMin","LambdaMin","Lambda3GMin","Lambda10YMid","LambdaMid","Lambda3GMid","Lambda10YMax","LambdaMax","Lambda3GMax","ExLambda10YMin","ExLambdaMin","ExLambda3GMin","ExLambda10YMid","ExLambdaMid","ExLambda3GMid","ExLambda10YMax","ExLambdaMax","ExLambda3GMax"
"11","Amazona auropalliata","Yellow-naped Amazon","aves",TRUE,TRUE,"Decreasing","EN","A2acd+3cd+4acd",15.65694427,5718.6988946175,6.69670084631926,1.46486197556237,1.46486197556237,9.8381456326306,2.18072309890586,2.18072309890586,14.449622653224,3.26799735096474,3.26799735096474,0.933032991536807,0.985351380244376,0.985351380244376,0.901618543673694,0.978192769010941,0.978192769010941,0.85550377346776,0.967320026490353,0.967320026490353,-0.0693147180559945,-0.0147569702109343,-0.0147569702109343,-0.103563748950672,-0.0220485230418618,-0.0220485230418618,-0.156064774826466,-0.0332258905133232,-0.0332258905133232
"12","Amazona finschi","Lilac-crowned Amazon","aves",FALSE,TRUE,"Decreasing","EN","A2cd+3cd+4cd",10.75834867,3929.4868517175,6.69670084631926,2.12472842131398,2.12472842131398,9.8381456326306,3.15785171221549,3.15785171221549,14.449622653224,4.72041581133358,4.72041581133358,0.933032991536807,0.97875271578686,0.97875271578686,0.901618543673694,0.968421482877845,0.968421482877845,0.85550377346776,0.952795841886664,0.952795841886664,-0.0693147180559945,-0.0214762569306697,-0.0214762569306697,-0.103563748950672,-0.0320878702755635,-0.0320878702755635,-0.156064774826466,-0.0483546250493685,-0.0483546250493685
"13","Amazona oratrix","Yellow-headed Amazon","aves",FALSE,TRUE,"Decreasing","EN","A2bcd+4bcd",16.55617919,6047.1444491475,6.69670084631926,1.38585318150821,1.38585318150821,9.8381456326306,2.06350975219737,2.06350975219737,14.449622653224,3.09327366427933,3.09327366427933,0.933032991536807,0.986141468184918,0.986141468184918,0.901618543673694,0.979364902478026,0.979364902478026,0.85550377346776,0.969067263357207,0.969067263357207,-0.0693147180559945,-0.0139554578103506,-0.0139554578103506,-0.103563748950672,-0.0208509760942156,-0.0208509760942156,-0.156064774826466,-0.0314212542711809,-0.0314212542711809
"14","Amazona pretrei","Red-spectacled Amazon","aves",FALSE,TRUE,"Decreasing","VU","A2cd+3cd+4cd",10.59362238,3869.320574295,3.50389048801824,1.11602033114331,1.11602033114331,4.90109037786124,1.56878866395396,1.56878866395396,6.51175273797047,2.09642345681648,2.09642345681648,0.964961095119818,0.988839796688567,0.988839796688567,0.950989096221388,0.98431211336046,0.98431211336046,0.934882472620295,0.979035765431835,0.979035765431835,-0.0356674943938732,-0.0112229456284978,-0.0112229456284978,-0.0502526820951295,-0.0158122438490297,-0.0158122438490297,-0.0673344553263765,-0.0211871045021387,-0.0211871045021387
"15","Amazona tucumana","Tucuman Amazon","aves",TRUE,TRUE,"Decreasing","VU","A2bcd+3bcd+4bcd",9.596479673,3505.11420056325,3.50389048801824,1.23126609337594,1.23126609337594,4.90109037786124,1.73037884863434,1.73037884863434,6.51175273797047,2.31172025714793,2.31172025714793,0.964961095119818,0.987687339066241,0.987687339066241,0.950989096221388,0.982696211513657,0.982696211513657,0.934882472620295,0.976882797428521,0.976882797428521,-0.0356674943938732,-0.0123890897527854,-0.0123890897527854,-0.0502526820951295,-0.0174552488021614,-0.0174552488021614,-0.0673344553263765,-0.0233885958256909,-0.0233885958256909
"16","Amazona ventralis","Hispaniolan Amazon","aves",FALSE,TRUE,"Decreasing","VU","A2cd+3cd+4cd",9.379996932,3426.043879413,3.50389048801824,1.25950301706923,1.25950301706923,4.90109037786124,1.76995908938977,1.76995908938977,6.51175273797047,2.36443717174548,2.36443717174548,0.964961095119818,0.987404969829308,0.987404969829308,0.950989096221388,0.982300409106102,0.982300409106102,0.934882472620295,0.976355628282545,0.976355628282545,-0.0356674943938732,-0.0126750199218058,-0.0126750199218058,-0.0502526820951295,-0.0178581018236413,-0.0178581018236413,-0.0673344553263765,-0.0239283856965397,-0.0239283856965397
"17","Amazona viridigenalis","Red-crowned Amazon","aves",FALSE,TRUE,"Decreasing","EN","A2bcd+3bcd+4bcd",10.24997758,3743.804311095,6.69670084631926,2.22892614319836,2.22892614319836,9.8381456326306,3.31185064109165,3.31185064109165,14.449622653224,4.94864707341152,4.94864707341152,0.933032991536807,0.977710738568016,0.977710738568016,0.901618543673694,0.966881493589083,0.966881493589083,0.85550377346776,0.950513529265885,0.950513529265885,-0.0693147180559945,-0.0225414210307618,-0.0225414210307618,-0.103563748950672,-0.0336793416188371,-0.0336793416188371,-0.156064774826466,-0.0507528833139383,-0.0507528833139383
"18","Ammospiza caudacuta","Saltmarsh Sparrow","aves",FALSE,TRUE,"Decreasing","EN","A2ace+3ce+4ace",2.337685565,853.83965261625,6.69670084631926,6.69670084631926,9.41093462692938,9.8381456326306,9.8381456326306,13.7286623230803,14.449622653224,14.449622653224,19.9512688519925,0.933032991536807,0.933032991536807,0.905890653730706,0.901618543673694,0.901618543673694,0.862713376769197,0.85550377346776,0.85550377346776,0.800487311480075,-0.0693147180559945,-0.0693147180559945,-0.0988366714693934,-0.103563748950672,-0.103563748950672,-0.147672767317721,-0.156064774826466,-0.156064774826466,-0.222534597414184
"19","Ampelornis griseiceps","Grey-headed Antbird","aves",FALSE,TRUE,"Decreasing","VU","A2c+3c+4c;B1ab(i,ii,iii,iv,v);C2a(i)",2.528825535,923.65352665875,3.50389048801824,3.50389048801824,4.59265044356808,4.90109037786124,4.90109037786124,6.40936087584075,6.51175273797047,6.51175273797047,8.49310846828472,0.964961095119818,0.964961095119818,0.954073495564319,0.950989096221388,0.950989096221388,0.935906391241592,0.934882472620295,0.934882472620295,0.915068915317153,-0.0356674943938732,-0.0356674943938732,-0.0470145711256342,-0.0502526820951295,-0.0502526820951295,-0.0662398168630872,-0.0673344553263765,-0.0673344553263765,-0.0887558992563144
"20","Amytornis dorotheae","Carpentarian Grasswren","aves",FALSE,TRUE,"Decreasing","VU","A2c",3.282145667,1198.80370487175,3.50389048801824,3.50389048801824,3.55755276527383,4.90109037786124,4.90109037786124,4.97559309092058,6.51175273797047,6.51175273797047,6.60987641938138,0.964961095119818,0.964961095119818,0.964424472347262,0.950989096221388,0.950989096221388,0.950244069090794,0.934882472620295,0.934882472620295,0.933901235806186,-0.0356674943938732,-0.0356674943938732,-0.0362237572740788,-0.0502526820951295,-0.0502526820951295,-0.0510364125520997,-0.0673344553263765,-0.0673344553263765,-0.0683845895927005
"21","Anas luzonica","Philippine Duck","aves",FALSE,TRUE,"Decreasing","VU","A2bcd",3.390974296,1238.553361614,3.50389048801824,3.44536826783493,3.44536826783493,4.90109037786124,4.8198209852142,4.8198209852142,6.51175273797047,6.40468721034878,6.40468721034878,0.964961095119818,0.965546317321651,0.965546317321651,0.950989096221388,0.951801790147858,0.951801790147858,0.934882472620295,0.935953127896512,0.935953127896512,-0.0356674943938732,-0.035061205895846,-0.035061205895846,-0.0502526820951295,-0.0493984694943552,-0.0493984694943552,-0.0673344553263765,-0.0661898807920823,-0.0661898807920823
"22","Anodorhynchus hyacinthinus","Hyacinth Macaw","aves",FALSE,TRUE,"Decreasing","VU","A2cd; C2a(ii)",11.28936891,4123.4419943775,3.50389048801824,1.04760327573125,1.04760327573125,4.90109037786124,1.47282223359856,1.47282223359856,6.51175273797047,1.96850443893869,1.96850443893869,0.964961095119818,0.989523967242688,0.989523967242688,0.950989096221388,0.985271777664014,0.985271777664014,0.934882472620295,0.980314955610613,0.980314955610613,-0.0356674943938732,-0.0105312926636903,-0.0105312926636903,-0.0502526820951295,-0.0148377594578136,-0.0148377594578136,-0.0673344553263765,-0.0198813756739265,-0.0198813756739265
"23","Anser cygnoid","Swan Goose","aves",FALSE,TRUE,"Decreasing","VU","A2bcd+3bcd+4bcd",9.428410925,3443.72709035625,3.50389048801824,1.2530762805812,1.2530762805812,4.90109037786124,1.76095101564386,1.76095101564386,6.51175273797047,2.35243995468863,2.35243995468863,0.964961095119818,0.987469237194188,0.987469237194188,0.950989096221388,0.982390489843561,0.982390489843561,0.934882472620295,0.976475600453114,0.976475600453114,-0.0356674943938732,-0.0126099349005175,-0.0126099349005175,-0.0502526820951295,-0.0177664021699498,-0.0177664021699498,-0.0673344553263765,-0.0238055157127398,-0.0238055157127398
"24","Anser erythropus","Lesser White-fronted Goose","aves",TRUE,TRUE,"Decreasing","VU","A2bcd+3bcd+4bcd",7.603944772,2777.340827973,3.50389048801824,1.55139220977577,1.55139220977577,4.90109037786124,2.17883446027995,2.17883446027995,6.51175273797047,2.90859532057912,2.90859532057912,0.964961095119818,0.984486077902242,0.984486077902242,0.950989096221388,0.9782116553972,0.9782116553972,0.934882472620295,0.970914046794209,0.970914046794209,-0.0356674943938732,-0.0156355222906631,-0.0156355222906631,-0.0502526820951295,-0.022029215800451,-0.022029215800451,-0.0673344553263765,-0.0295173349032913,-0.0295173349032913
"25","Anthochaera phrygia","Regent Honeyeater","aves",FALSE,TRUE,"Decreasing","CR","A2bce",3.396912726,1240.7223731715,14.8660077479215,14.6091672507369,14.6091672507369,20.1786754970349,19.841247086401,19.841247086401,36.9042655519807,36.3580668088576,36.3580668088576,0.851339922520785,0.853908327492631,0.853908327492631,0.798213245029651,0.80158752913599,0.80158752913599,0.630957344480193,0.636419331911424,0.636419331911424,-0.16094379124341,-0.157931435811843,-0.157931435811843,-0.225379492882461,-0.221161106237638,-0.221161106237638,-0.46051701859881,-0.451897605997752,-0.451897605997752
"26","Anthracoceros malayanus","Black Hornbill","aves",FALSE,TRUE,"Decreasing","VU","A2cd+3cd+4cd",5.938751527,2169.12899523675,3.50389048801824,1.98205743645318,1.98205743645318,4.90109037786124,2.78120088368513,2.78120088368513,6.51175273797047,3.70885591676458,3.70885591676458,0.964961095119818,0.980179425635468,0.980179425635468,0.950989096221388,0.972187991163149,0.972187991163149,0.934882472620295,0.962911440832354,0.962911440832354,-0.0356674943938732,-0.0200196366928381,-0.0200196366928381,-0.0502526820951295,-0.0282060866758836,-0.0282060866758836,-0.0673344553263765,-0.0377938331652405,-0.0377938331652405
"27","Anthracoceros marchei","Palawan Hornbill","aves",FALSE,TRUE,"Decreasing","VU","A2cd+3cd+4cd",5.555507825,2029.14923308125,3.50389048801824,2.11733107813483,2.11733107813483,4.90109037786124,2.97018351809631,2.97018351809631,6.51175273797047,3.95957796725005,3.95957796725005,0.964961095119818,0.978826689218652,0.978826689218652,0.950989096221388,0.970298164819037,0.970298164819037,0.934882472620295,0.9604042203275,0.9604042203275,-0.0356674943938732,-0.0214006805002704,-0.0214006805002704,-0.0502526820951295,-0.0301518683068542,-0.0301518683068542,-0.0673344553263765,-0.0404010203011918,-0.0404010203011918
"28","Anthus nattereri","Ochre-breasted Pipit","aves",FALSE,TRUE,"Decreasing","VU","A2c",1.98679716,725.67766269,3.50389048801824,3.50389048801824,5.80855807922002,4.90109037786124,4.90109037786124,8.08546818708925,6.51175273797047,6.51175273797047,10.6822414256437,0.964961095119818,0.964961095119818,0.9419144192078,0.950989096221388,0.950989096221388,0.919145318129107,0.934882472620295,0.934882472620295,0.893177585743563,-0.0356674943938732,-0.0356674943938732,-0.0598408586307711,-0.0502526820951295,-0.0502526820951295,-0.0843110427624622,-0.0673344553263765,-0.0673344553263765,-0.112969853661989
"29","Anthus spragueii","Sprague's Pipit","aves",TRUE,TRUE,"Decreasing","VU","A2bce+3bce+4bce",1.940463213,708.75418854825,3.50389048801824,3.50389048801824,5.94304898171015,4.90109037786124,4.90109037786124,8.27032073664639,6.51175273797047,6.51175273797047,10.9228486424786,0.964961095119818,0.964961095119818,0.940569510182898,0.950989096221388,0.950989096221388,0.917296792633536,0.934882472620295,0.934882472620295,0.890771513575214,-0.0356674943938732,-0.0356674943938732,-0.0612697252816086,-0.0502526820951295,-0.0502526820951295,-0.0863242030020894,-0.0673344553263765,-0.0673344553263765,-0.115667322584412
"30","Antigone antigone","Sarus Crane","aves",TRUE,TRUE,"Decreasing","VU","A2cde+3cde+4cde",16.69509256,6097.88255754,3.50389048801824,0.709605627964072,0.709605627964072,4.90109037786124,0.998325700149971,0.998325700149971,6.51175273797047,1.335399523509,1.335399523509,0.964961095119818,0.992903943720359,0.992903943720359,0.950989096221388,0.9900167429985,0.9900167429985,0.934882472620295,0.98664600476491,0.98664600476491,-0.0356674943938732,-0.00712135302947832,-0.00712135302947832,-0.0502526820951295,-0.0100334238768125,-0.0100334238768125,-0.0673344553263765,-0.0134439616680542,-0.0134439616680542
"31","Antigone vipio","White-naped Crane","aves",TRUE,TRUE,"Decreasing","VU","A2bcde+3bcde+4bcde",12.24847171,4473.7542920775,3.50389048801824,0.965969415053947,0.965969415053947,4.90109037786124,1.35828150471379,1.35828150471379,6.51175273797047,1.8157712527852,1.8157712527852,0.964961095119818,0.990340305849461,0.990340305849461,0.950989096221388,0.986417184952862,0.986417184952862,0.934882472620295,0.981842287472148,0.981842287472148,-0.0356674943938732,-0.00970665163740478,-0.00970665163740478,-0.0502526820951295,-0.013675905393188,-0.013675905393188,-0.0673344553263765,-0.0183245869146278,-0.0183245869146278
"32","Aphelocoma coerulescens","Florida Scrub-jay","aves",FALSE,TRUE,"Decreasing","VU","A2cde+3cde+4cde; C1+2a(i)",5.175549526,1890.3694643715,3.50389048801824,2.27099493655557,2.27099493655557,4.90109037786124,3.18472848025225,3.18472848025225,6.51175273797047,4.24401226165462,4.24401226165462,0.964961095119818,0.977290050634444,0.977290050634444,0.950989096221388,0.968152715197477,0.968152715197477,0.934882472620295,0.957559877383454,0.957559877383454,-0.0356674943938732,-0.0229717921512123,-0.0229717921512123,-0.0502526820951295,-0.0323654405151757,-0.0323654405151757,-0.0673344553263765,-0.043367024756253,-0.043367024756253
"33","Apteryx australis","Southern Brown Kiwi","aves",TRUE,TRUE,"Decreasing","VU","A2be+3be+4be",9.627643814,3516.4969030635,3.50389048801824,1.22730511255024,1.22730511255024,4.90109037786124,1.7248262952788,1.7248262952788,6.51175273797047,2.30432423510893,2.30432423510893,0.964961095119818,0.987726948874498,0.987726948874498,0.950989096221388,0.982751737047212,0.982751737047212,0.934882472620295,0.976956757648911,0.976956757648911,-0.0356674943938732,-0.012348986966748,-0.012348986966748,-0.0502526820951295,-0.0173987471445003,-0.0173987471445003,-0.0673344553263765,-0.0233128882577557,-0.0233128882577557
"34","Apteryx haastii","Great Spotted Kiwi","aves",TRUE,TRUE,"Decreasing","VU","A2e",9.253745993,3379.93072394325,3.50389048801824,1.27657655216545,1.27657655216545,4.90109037786124,1.79388914772169,1.79388914772169,6.51175273797047,2.39630610958005,2.39630610958005,0.964961095119818,0.987234234478345,0.987234234478345,0.950989096221388,0.982061108522783,0.982061108522783,0.934882472620295,0.9760369389042,0.9760369389042,-0.0356674943938732,-0.0128479480709231,-0.0128479480709231,-0.0502526820951295,-0.0181017439255206,-0.0181017439255206,-0.0673344553263765,-0.0242548460473239,-0.0242548460473239
"35","Apteryx mantelli","Northern Brown Kiwi","aves",FALSE,TRUE,"Stable","VU","A2bce",8.50203165,3105.3670601625,3.50389048801824,1.38865895979526,1.38865895979526,4.90109037786124,1.95094045478783,1.95094045478783,6.51175273797047,2.60539420383588,2.60539420383588,0.964961095119818,0.986113410402047,0.986113410402047,0.950989096221388,0.980490595452122,0.980490595452122,0.934882472620295,0.973946057961641,0.973946057961641,-0.0356674943938732,-0.0139839103021426,-0.0139839103021426,-0.0502526820951295,-0.0197022249754973,-0.0197022249754973,-0.0673344553263765,-0.0263993588428074,-0.0263993588428074
"36","Aquila nipalensis","Steppe Eagle","aves",TRUE,TRUE,"Decreasing","EN","A2abcd+3bcd+4abcd",12.90364843,4713.0575890575,6.69670084631926,1.7746360903533,1.7746360903533,9.8381456326306,2.63983983462434,2.63983983462434,14.449622653224,3.95135585715379,3.95135585715379,0.933032991536807,0.982253639096467,0.982253639096467,0.901618543673694,0.973601601653757,0.973601601653757,0.85550377346776,0.960486441428462,0.960486441428462,-0.0693147180559945,-0.0179057156927398,-0.0179057156927398,-0.103563748950672,-0.0267530922261992,-0.0267530922261992,-0.156064774826466,-0.0403154130330117,-0.0403154130330117
"37","Aquila rapax","Tawny Eagle","aves",TRUE,TRUE,"Decreasing","VU","A2ace+3ce+4ace",12.69701655,4637.5852948875,3.50389048801824,0.932004342979353,0.932004342979353,4.90109037786124,1.31061362766283,1.31061362766283,6.51175273797047,1.75219122942007,1.75219122942007,0.964961095119818,0.990679956570206,0.990679956570206,0.950989096221388,0.986893863723372,0.986893863723372,0.934882472620295,0.982478087705799,0.982478087705799,-0.0356674943938732,-0.00936374679133401,-0.00936374679133401,-0.0502526820951295,-0.0131927795523823,-0.0131927795523823,-0.0673344553263765,-0.0176772380769445,-0.0176772380769445
"38","Ara ambiguus","Great Green Macaw","aves",FALSE,TRUE,"Decreasing","EN","A2cd+3cd+4cd",9.690833637,3539.57698591425,6.69670084631926,2.35600455299664,2.35600455299664,9.8381456326306,3.4995563264311,3.4995563264311,14.449622653224,5.22658369940898,5.22658369940898,0.933032991536807,0.976439954470034,0.976439954470034,0.901618543673694,0.965004436735689,0.965004436735689,0.85550377346776,0.94773416300591,0.94773416300591,-0.0693147180559945,-0.0238420211141066,-0.0238420211141066,-0.103563748950672,-0.0356225800001565,-0.0356225800001565,-0.156064774826466,-0.0536812348219473,-0.0536812348219473
"39","Ara glaucogularis","Blue-throated Macaw","aves",FALSE,TRUE,"Stable","CR","A2bcde",9.396982068,3432.247700337,14.8660077479215,5.54915029281953,5.54915029281953,20.1786754970349,7.68351644079788,7.68351644079788,36.9042655519807,15.0711512814716,15.0711512814716,0.851339922520785,0.944508497071805,0.944508497071805,0.798213245029651,0.923164835592021,0.923164835592021,0.630957344480193,0.849288487185284,0.849288487185284,-0.16094379124341,-0.0570905957106802,-0.0570905957106802,-0.225379492882461,-0.079947473650417,-0.079947473650417,-0.46051701859881,-0.163356353939431,-0.163356353939431
"40","Ara militaris","Military Macaw","aves",FALSE,TRUE,"Decreasing","VU","A2cd+3cd+4cd",12.92212445,4719.8059553625,3.50389048801824,0.915843080776502,0.915843080776502,4.90109037786124,1.28792994945377,1.28792994945377,6.51175273797047,1.72193178345039,1.72193178345039,0.964961095119818,0.990841569192235,0.990841569192235,0.950989096221388,0.987120700505462,0.987120700505462,0.934882472620295,0.982780682165496,0.982780682165496,-0.0356674943938732,-0.00920062706713653,-0.00920062706713653,-0.0502526820951295,-0.0129629567464116,-0.0129629567464116,-0.0673344553263765,-0.0173692944445567,-0.0173692944445567
"41","Aramides wolfi","Brown Wood-rail","aves",FALSE,TRUE,"Decreasing","VU","A2c+3c+4c;B1ab(i,ii,iii,v)",5.568691711,2033.96464744275,3.50389048801824,2.11237161517054,2.11237161517054,4.90109037786124,2.96325683685744,2.96325683685744,6.51175273797047,3.95039131183486,3.95039131183486,0.964961095119818,0.978876283848295,0.978876283848295,0.950989096221388,0.970367431631426,0.970367431631426,0.934882472620295,0.960496086881651,0.960496086881651,-0.0356674943938732,-0.0213500143570037,-0.0213500143570037,-0.0502526820951295,-0.0300804837132954,-0.0300804837132954,-0.0673344553263765,-0.0403053708248736,-0.0403053708248736
"42","Arborophila ardens","Hainan Partridge","aves",FALSE,TRUE,"Decreasing","VU","A2cd;B1ab(ii,iii,iv,v);C2a(i)",4.985385429,1820.91202794225,3.50389048801824,2.35659180594644,2.35659180594644,4.90109037786124,3.30417874661487,3.30417874661487,6.51175273797047,4.40228138515578,4.40228138515578,0.964961095119818,0.976434081940536,0.976434081940536,0.950989096221388,0.966958212533851,0.966958212533851,0.934882472620295,0.955977186148442,0.955977186148442,-0.0356674943938732,-0.0238480353571029,-0.0238480353571029,-0.0502526820951295,-0.0335999979746197,-0.0335999979746197,-0.0673344553263765,-0.0450212300769444,-0.0450212300769444
"43","Arborophila orientalis","White-faced Partridge","aves",FALSE,TRUE,"Decreasing","VU","A2cd+3cd+4cd;B1ab(ii,iii,v)",4.958746008,1811.181979422,3.50389048801824,2.36910074954545,2.36910074954545,4.90109037786124,3.32163136847745,3.32163136847745,6.51175273797047,4.42540018491748,4.42540018491748,0.964961095119818,0.976308992504546,0.976308992504546,0.950989096221388,0.966783686315225,0.966783686315225,0.934882472620295,0.955745998150825,0.955745998150825,-0.0356674943938732,-0.0239761519924126,-0.0239761519924126,-0.0502526820951295,-0.0337805041933695,-0.0337805041933695,-0.0673344553263765,-0.0452630935440433,-0.0452630935440433
