"","Scientific_Name","Common_Name","Class","PresentInLPI","PresentInRL","Population_Trend","IUCN_Category","IUCN_Criteria","Generation_Length_Days","Generation_Length_Years","PercentDecrease10YMin","PercentDecreaseMin","PercentDecrease3GMin","PercentDecrease10YMid","PercentDecreaseMid","PercentDecrease3GMid","PercentDecrease10YMax","PercentDecreaseMax","PercentDecrease3GMax","Lambda10YMin","LambdaMin","Lambda3GMin","Lambda10YMid","LambdaMid","Lambda3GMid","Lambda10YMax","LambdaMax","Lambda3GMax","ExLambda10YMin","ExLambdaMin","ExLambda3GMin","ExLambda10YMid","ExLambdaMid","ExLambda3GMid","ExLambda10YMax","ExLambdaMax","ExLambda3GMax"
"11","Aotus griseimembra","Grey-handed Night Monkey","mammalia",FALSE,TRUE,"Decreasing","VU","A2c",2920,7.99452429842574,3.50389048801824,1.47615984620982,1.47615984620982,4.90109037786124,2.0734970965063,2.0734970965063,6.51175273797047,2.76847924676236,2.76847924676236,0.964961095119818,0.985238401537902,0.985238401537902,0.950989096221388,0.979265029034937,0.979265029034937,0.934882472620295,0.972315207532376,0.972315207532376,-0.0356674943938732,-0.0148716350768975,-0.0148716350768975,-0.0502526820951295,-0.0209529590585001,-0.0209529590585001,-0.0673344553263765,-0.0280752395068025,-0.0280752395068025
"12","Aotus lemurinus","Colombian Night Monkey","mammalia",FALSE,TRUE,"Decreasing","VU","A2c",2920,7.99452429842574,3.50389048801824,1.47615984620982,1.47615984620982,4.90109037786124,2.0734970965063,2.0734970965063,6.51175273797047,2.76847924676236,2.76847924676236,0.964961095119818,0.985238401537902,0.985238401537902,0.950989096221388,0.979265029034937,0.979265029034937,0.934882472620295,0.972315207532376,0.972315207532376,-0.0356674943938732,-0.0148716350768975,-0.0148716350768975,-0.0502526820951295,-0.0209529590585001,-0.0209529590585001,-0.0673344553263765,-0.0280752395068025,-0.0280752395068025
"13","Aotus nancymaae","Nancy Ma’s Night Monkey","mammalia",FALSE,TRUE,"Decreasing","VU","A2cd+3cd+4cd",3047.8376,8.34452457221081,3.50389048801824,1.41468431438072,1.41468431438072,4.90109037786124,1.98739707721086,1.98739707721086,6.51175273797047,2.65391395440302,2.65391395440302,0.964961095119818,0.985853156856193,0.985853156856193,0.950989096221388,0.980126029227891,0.980126029227891,0.934882472620295,0.97346086045597,0.97346086045597,-0.0356674943938732,-0.0142478636081334,-0.0142478636081334,-0.0502526820951295,-0.0200741143330013,-0.0200741143330013,-0.0673344553263765,-0.0268976599540157,-0.0268976599540157
"14","Arctictis binturong","Binturong","mammalia",TRUE,TRUE,"Decreasing","VU","A2cd+3cd+4cd",3650,9.99315537303217,3.50389048801824,1.18268149284166,1.18268149284166,4.90109037786124,1.66226604635902,1.66226604635902,6.51175273797047,2.22098393248984,2.22098393248984,0.964961095119818,0.988173185071583,0.988173185071583,0.950989096221388,0.98337733953641,0.98337733953641,0.934882472620295,0.977790160675102,0.977790160675102,-0.0356674943938732,-0.011897308061518,-0.011897308061518,-0.0502526820951295,-0.0167623672468,-0.0167623672468,-0.0673344553263765,-0.022460191605442,-0.022460191605442
"15","Arctocephalus galapagoensis","Galápagos Fur Seal","mammalia",FALSE,TRUE,"Decreasing","EN","A2ab",3650,9.99315537303217,6.69670084631926,2.28554952716388,2.28554952716388,9.8381456326306,3.39550312400438,3.39550312400438,14.449622653224,5.07254548928852,5.07254548928852,0.933032991536807,0.977144504728361,0.977144504728361,0.901618543673694,0.966044968759956,0.966044968759956,0.85550377346776,0.949274545107115,0.949274545107115,-0.0693147180559945,-0.0231207312967598,-0.0231207312967598,-0.103563748950672,-0.0345448943417653,-0.0345448943417653,-0.156064774826466,-0.0520572228359516,-0.0520572228359516
"16","Arctonyx collaris","Greater Hog Badger","mammalia",FALSE,TRUE,"Decreasing","VU","A2cd+3cd+4cd",1798.679445,4.92451593429158,3.50389048801824,2.38537027445664,2.38537027445664,4.90109037786124,3.34432942857029,3.34432942857029,6.51175273797047,4.45546528756578,4.45546528756578,0.964961095119818,0.976146297255434,0.976146297255434,0.950989096221388,0.966556705714297,0.966556705714297,0.934882472620295,0.955445347124342,0.955445347124342,-0.0356674943938732,-0.0241428090732091,-0.0241428090732091,-0.0502526820951295,-0.0340153108553593,-0.0340153108553593,-0.0673344553263765,-0.0455777151330395,-0.0455777151330395
"17","Arvicola sapidus","Southern Water Vole","mammalia",TRUE,TRUE,"Decreasing","VU","A2ace+4ace",656.0875,1.79626967830253,3.50389048801824,3.50389048801824,6.40451901936392,4.90109037786124,4.90109037786124,8.90377145292874,6.51175273797047,6.51175273797047,11.7461078297212,0.964961095119818,0.964961095119818,0.935954809806361,0.950989096221388,0.950989096221388,0.910962285470713,0.934882472620295,0.934882472620295,0.882538921702788,-0.0356674943938732,-0.0356674943938732,-0.066188083791477,-0.0502526820951295,-0.0502526820951295,-0.0932537816233661,-0.0673344553263765,-0.0673344553263765,-0.124952387234727
"18","Ateles chamek","Black-faced Black Spider Monkey","mammalia",TRUE,TRUE,"Decreasing","EN","A2cd",5475,14.9897330595483,6.69670084631926,1.52956359339727,1.52956359339727,9.8381456326306,2.27667648263158,2.27667648263158,14.449622653224,3.41095096512041,3.41095096512041,0.933032991536807,0.984704364066027,0.984704364066027,0.901618543673694,0.977233235173684,0.977233235173684,0.85550377346776,0.965890490348796,0.965890490348796,-0.0693147180559945,-0.0154138208645065,-0.0154138208645065,-0.103563748950672,-0.0230299295611768,-0.0230299295611768,-0.156064774826466,-0.0347048152239677,-0.0347048152239677
"19","Ateles fusciceps","Brown-headed Spider Monkey","mammalia",FALSE,TRUE,"Decreasing","CR","A2cd",5475,14.9897330595483,14.8660077479215,3.51569021022349,3.51569021022349,20.1786754970349,4.88834189436657,4.88834189436657,36.9042655519807,9.73380953754651,9.73380953754651,0.851339922520785,0.964843097897765,0.964843097897765,0.798213245029651,0.951116581056334,0.951116581056334,0.630957344480193,0.902661904624535,0.902661904624535,-0.16094379124341,-0.0357897837148587,-0.0357897837148587,-0.225379492882461,-0.0501186360884743,-0.0501186360884743,-0.46051701859881,-0.102407209158731,-0.102407209158731
"20","Ateles geoffroyi","Geoffroy’s Spider Monkey","mammalia",TRUE,TRUE,"Decreasing","EN","A2c",5475,14.9897330595483,6.69670084631926,1.52956359339727,1.52956359339727,9.8381456326306,2.27667648263158,2.27667648263158,14.449622653224,3.41095096512041,3.41095096512041,0.933032991536807,0.984704364066027,0.984704364066027,0.901618543673694,0.977233235173684,0.977233235173684,0.85550377346776,0.965890490348796,0.965890490348796,-0.0693147180559945,-0.0154138208645065,-0.0154138208645065,-0.103563748950672,-0.0230299295611768,-0.0230299295611768,-0.156064774826466,-0.0347048152239677,-0.0347048152239677
"21","Ateles hybridus","Variegated Spider Monkey","mammalia",FALSE,TRUE,"Decreasing","CR","A2cd+3cd",5475,14.9897330595483,14.8660077479215,3.51569021022349,3.51569021022349,20.1786754970349,4.88834189436657,4.88834189436657,36.9042655519807,9.73380953754651,9.73380953754651,0.851339922520785,0.964843097897765,0.964843097897765,0.798213245029651,0.951116581056334,0.951116581056334,0.630957344480193,0.902661904624535,0.902661904624535,-0.16094379124341,-0.0357897837148587,-0.0357897837148587,-0.225379492882461,-0.0501186360884743,-0.0501186360884743,-0.46051701859881,-0.102407209158731,-0.102407209158731
"22","Axis porcinus","Hog Deer","mammalia",TRUE,TRUE,"Decreasing","EN","A2bcd",2555,6.99520876112252,6.69670084631926,3.24900947423726,3.24900947423726,9.8381456326306,4.81519317103433,4.81519317103433,14.449622653224,7.16694942778309,7.16694942778309,0.933032991536807,0.967509905257627,0.967509905257627,0.901618543673694,0.951848068289657,0.951848068289657,0.85550377346776,0.928330505722169,0.928330505722169,-0.0693147180559945,-0.0330296161382284,-0.0330296161382284,-0.103563748950672,-0.0493498490596647,-0.0493498490596647,-0.156064774826466,-0.0743674611942166,-0.0743674611942166
"23","Babyrousa celebensis","Sulawesi Babirusa","mammalia",FALSE,TRUE,"Decreasing","VU","A2cd; C1",2190,5.9958932238193,3.50389048801824,1.96335481659702,1.96335481659702,4.90109037786124,2.75506418670095,2.75506418670095,6.51175273797047,3.6741674786795,3.6741674786795,0.964961095119818,0.98036645183403,0.98036645183403,0.950989096221388,0.97244935813299,0.97244935813299,0.934882472620295,0.963258325213205,0.963258325213205,-0.0356674943938732,-0.0198288467691967,-0.0198288467691967,-0.0502526820951295,-0.0279372787446668,-0.0279372787446668,-0.0673344553263765,-0.0374336526757367,-0.0374336526757367
"24","Balantiopteryx io","Thomas's Sac-winged Bat","mammalia",FALSE,TRUE,"Decreasing","VU","A2c",894.25,2.44832306639288,3.50389048801824,3.50389048801824,4.74002385805866,4.90109037786124,4.90109037786124,6.61298027302462,6.51175273797047,6.51175273797047,8.75976851277533,0.964961095119818,0.964961095119818,0.952599761419413,0.950989096221388,0.950989096221388,0.933870197269754,0.934882472620295,0.934882472620295,0.912402314872247,-0.0356674943938732,-0.0356674943938732,-0.0485604410674204,-0.0502526820951295,-0.0502526820951295,-0.0684178254971432,-0.0673344553263765,-0.0673344553263765,-0.0916742514507839
"25","Beatragus hunteri","Hirola","mammalia",TRUE,TRUE,"Decreasing","CR","A2acd",2253.9745,6.17104585900068,14.8660077479215,8.32632340984488,8.32632340984488,20.1786754970349,11.4621728913813,11.4621728913813,36.9042655519807,22.0226253500883,22.0226253500883,0.851339922520785,0.916736765901551,0.916736765901551,0.798213245029651,0.885378271086187,0.885378271086187,0.630957344480193,0.779773746499117,0.779773746499117,-0.16094379124341,-0.0869349080208546,-0.0869349080208546,-0.225379492882461,-0.12174030033809,-0.12174030033809,-0.46051701859881,-0.248751469967406,-0.248751469967406
"26","Bettongia penicillata","Woylie","mammalia",TRUE,TRUE,"Decreasing","CR","A2ce",1517.6945,4.15522108145106,14.8660077479215,12.1122443490455,12.1122443490455,20.1786754970349,16.539793935268,16.539793935268,36.9042655519807,30.8870741555199,30.8870741555199,0.851339922520785,0.878877556509545,0.878877556509545,0.798213245029651,0.83460206064732,0.83460206064732,0.630957344480193,0.691129258444801,0.691129258444801,-0.16094379124341,-0.129109689623868,-0.129109689623868,-0.225379492882461,-0.180800241803865,-0.180800241803865,-0.46051701859881,-0.369428412729999,-0.369428412729999
"27","Bos gaurus","Gaur","mammalia",TRUE,TRUE,"Decreasing","VU","A2cd+3cd+4cd",3285,8.99383983572895,3.50389048801824,1.3132240879825,1.3132240879825,4.90109037786124,1.84524817168165,1.84524817168165,6.51175273797047,2.46469475489302,2.46469475489302,0.964961095119818,0.986867759120175,0.986867759120175,0.950989096221388,0.981547518283184,0.981547518283184,0.934882472620295,0.97535305245107,0.97535305245107,-0.0356674943938732,-0.0132192311794644,-0.0132192311794644,-0.0502526820951295,-0.0186248524964445,-0.0186248524964445,-0.0673344553263765,-0.0249557684504912,-0.0249557684504912
"28","Bos sauveli","Kouprey","mammalia",FALSE,TRUE,"Decreasing","CR","A2d; C1+2a(i); D",3285,8.99383983572895,14.8660077479215,5.79054515374959,5.79054515374959,20.1786754970349,8.01374848378401,8.01374848378401,36.9042655519807,15.690756921472,15.690756921472,0.851339922520785,0.942094548462504,0.942094548462504,0.798213245029651,0.91986251516216,0.91986251516216,0.630957344480193,0.84309243078528,0.84309243078528,-0.16094379124341,-0.0596496395247646,-0.0596496395247646,-0.225379492882461,-0.0835310601474571,-0.0835310601474571,-0.46051701859881,-0.170678681931218,-0.170678681931218
"29","Brachyteles arachnoides","Southern Muriqui","mammalia",TRUE,TRUE,"Decreasing","CR","A2cd",7300,19.9863107460643,14.8660077479215,2.6485284089205,2.6485284089205,20.1786754970349,3.68912806801446,3.68912806801446,36.9042655519807,7.39299570567395,7.39299570567395,0.851339922520785,0.973514715910795,0.973514715910795,0.798213245029651,0.963108719319855,0.963108719319855,0.630957344480193,0.92607004294326,0.92607004294326,-0.16094379124341,-0.026842337786144,-0.026842337786144,-0.225379492882461,-0.0375889770663558,-0.0375889770663558,-0.46051701859881,-0.0768054068690479,-0.0768054068690479
"30","Brachyteles hypoxanthus","Northern Muriqui","mammalia",TRUE,TRUE,"Decreasing","CR","A2cd",7300,19.9863107460643,14.8660077479215,2.6485284089205,2.6485284089205,20.1786754970349,3.68912806801446,3.68912806801446,36.9042655519807,7.39299570567395,7.39299570567395,0.851339922520785,0.973514715910795,0.973514715910795,0.798213245029651,0.963108719319855,0.963108719319855,0.630957344480193,0.92607004294326,0.92607004294326,-0.16094379124341,-0.026842337786144,-0.026842337786144,-0.225379492882461,-0.0375889770663558,-0.0375889770663558,-0.46051701859881,-0.0768054068690479,-0.0768054068690479
"31","Bubalus arnee","Wild Water Buffalo","mammalia",TRUE,TRUE,"Decreasing","EN","A2de+3de; C1",3285,8.99383983572895,6.69670084631926,2.53625287049356,2.53625287049356,9.8381456326306,3.76559153685522,3.76559153685522,14.449622653224,5.62003388399601,5.62003388399601,0.933032991536807,0.974637471295064,0.974637471295064,0.901618543673694,0.962344084631448,0.962344084631448,0.85550377346776,0.94379966116004,0.94379966116004,-0.0693147180559945,-0.0256897014408442,-0.0256897014408442,-0.103563748950672,-0.0383832159352948,-0.0383832159352948,-0.156064774826466,-0.0578413587066129,-0.0578413587066129
"32","Budorcas taxicolor","Takin","mammalia",FALSE,TRUE,"Decreasing","VU","A2cd",2920,7.99452429842574,3.50389048801824,1.47615984620982,1.47615984620982,4.90109037786124,2.0734970965063,2.0734970965063,6.51175273797047,2.76847924676236,2.76847924676236,0.964961095119818,0.985238401537902,0.985238401537902,0.950989096221388,0.979265029034937,0.979265029034937,0.934882472620295,0.972315207532376,0.972315207532376,-0.0356674943938732,-0.0148716350768975,-0.0148716350768975,-0.0502526820951295,-0.0209529590585001,-0.0209529590585001,-0.0673344553263765,-0.0280752395068025,-0.0280752395068025
"33","Cacajao calvus","Bald-headed Uacari","mammalia",FALSE,TRUE,"Decreasing","VU","A2cd",3650,9.99315537303217,3.50389048801824,1.18268149284166,1.18268149284166,4.90109037786124,1.66226604635902,1.66226604635902,6.51175273797047,2.22098393248984,2.22098393248984,0.964961095119818,0.988173185071583,0.988173185071583,0.950989096221388,0.98337733953641,0.98337733953641,0.934882472620295,0.977790160675102,0.977790160675102,-0.0356674943938732,-0.011897308061518,-0.011897308061518,-0.0502526820951295,-0.0167623672468,-0.0167623672468,-0.0673344553263765,-0.022460191605442,-0.022460191605442
"34","Cacajao hosomi","Black-headed Uacari","mammalia",FALSE,TRUE,"Decreasing","VU","A2d",3650,9.99315537303217,3.50389048801824,1.18268149284166,1.18268149284166,4.90109037786124,1.66226604635902,1.66226604635902,6.51175273797047,2.22098393248984,2.22098393248984,0.964961095119818,0.988173185071583,0.988173185071583,0.950989096221388,0.98337733953641,0.98337733953641,0.934882472620295,0.977790160675102,0.977790160675102,-0.0356674943938732,-0.011897308061518,-0.011897308061518,-0.0502526820951295,-0.0167623672468,-0.0167623672468,-0.0673344553263765,-0.022460191605442,-0.022460191605442
"35","Caenolestes convelatus","Blackish Shrew Opossum","mammalia",FALSE,TRUE,"Decreasing","VU","A2c",998.6765636,2.73422741574264,3.50389048801824,3.50389048801824,4.25509023276229,4.90109037786124,4.90109037786124,5.94248405562944,6.51175273797047,6.51175273797047,7.88094210815928,0.964961095119818,0.964961095119818,0.957449097672377,0.950989096221388,0.950989096221388,0.940575159443706,0.934882472620295,0.934882472620295,0.921190578918407,-0.0356674943938732,-0.0356674943938732,-0.0434827210403365,-0.0502526820951295,-0.0502526820951295,-0.0612637190866589,-0.0673344553263765,-0.0673344553263765,-0.0820883380544603
"36","Callicebus melanochir","Black-handed Titi","mammalia",FALSE,TRUE,"Decreasing","VU","A2c",2920,7.99452429842574,3.50389048801824,1.47615984620982,1.47615984620982,4.90109037786124,2.0734970965063,2.0734970965063,6.51175273797047,2.76847924676236,2.76847924676236,0.964961095119818,0.985238401537902,0.985238401537902,0.950989096221388,0.979265029034937,0.979265029034937,0.934882472620295,0.972315207532376,0.972315207532376,-0.0356674943938732,-0.0148716350768975,-0.0148716350768975,-0.0502526820951295,-0.0209529590585001,-0.0209529590585001,-0.0673344553263765,-0.0280752395068025,-0.0280752395068025
"37","Callicebus personatus","Atlantic Titi","mammalia",FALSE,TRUE,"Decreasing","VU","A2c",2920,7.99452429842574,3.50389048801824,1.47615984620982,1.47615984620982,4.90109037786124,2.0734970965063,2.0734970965063,6.51175273797047,2.76847924676236,2.76847924676236,0.964961095119818,0.985238401537902,0.985238401537902,0.950989096221388,0.979265029034937,0.979265029034937,0.934882472620295,0.972315207532376,0.972315207532376,-0.0356674943938732,-0.0148716350768975,-0.0148716350768975,-0.0502526820951295,-0.0209529590585001,-0.0209529590585001,-0.0673344553263765,-0.0280752395068025,-0.0280752395068025
"38","Callithrix aurita","Buffy-tufted-ear Marmoset","mammalia",FALSE,TRUE,"Decreasing","EN","A2cde",2110.588375,5.77847604380561,6.69670084631926,3.91955994615966,3.91955994615966,9.8381456326306,5.79916089674666,5.79916089674666,14.449622653224,8.60930244950802,8.60930244950802,0.933032991536807,0.960804400538403,0.960804400538403,0.901618543673694,0.942008391032533,0.942008391032533,0.85550377346776,0.91390697550492,0.91390697550492,-0.0693147180559945,-0.0399844281494127,-0.0399844281494127,-0.103563748950672,-0.0597410967675985,-0.0597410967675985,-0.156064774826466,-0.0900264900545675,-0.0900264900545675
"39","Callorhinus ursinus","Northern Fur Seal","mammalia",TRUE,TRUE,"Decreasing","VU","A2b",4745,12.9911019849418,3.50389048801824,0.911002539455408,0.911002539455408,4.90109037786124,1.28113555189598,1.28113555189598,6.51175273797047,1.71286777101431,1.71286777101431,0.964961095119818,0.990889974605446,0.990889974605446,0.950989096221388,0.98718864448104,0.98718864448104,0.934882472620295,0.982871322289857,0.982871322289857,-0.0356674943938732,-0.00915177543193694,-0.00915177543193694,-0.0502526820951295,-0.0128941286513846,-0.0128941286513846,-0.0673344553263765,-0.0172770704657247,-0.0172770704657247
"40","Capra aegagrus","Wild Goat","mammalia",TRUE,TRUE,"Decreasing","VU","A2cd",2097.005,5.74128678986995,3.50389048801824,2.0495246192163,2.0495246192163,4.90109037786124,2.8754685503937,2.8754685503937,6.51175273797047,3.83394095481298,3.83394095481298,0.964961095119818,0.979504753807837,0.979504753807837,0.950989096221388,0.971245314496063,0.971245314496063,0.934882472620295,0.96166059045187,0.96166059045187,-0.0356674943938732,-0.0207081883088217,-0.0207081883088217,-0.0502526820951295,-0.0291762015115941,-0.0291762015115941,-0.0673344553263765,-0.0390937071489403,-0.0390937071489403
"41","Capra caucasica","Western Tur","mammalia",TRUE,TRUE,"Decreasing","EN","A2ad",2555,6.99520876112252,6.69670084631926,3.24900947423726,3.24900947423726,9.8381456326306,4.81519317103433,4.81519317103433,14.449622653224,7.16694942778309,7.16694942778309,0.933032991536807,0.967509905257627,0.967509905257627,0.901618543673694,0.951848068289657,0.951848068289657,0.85550377346776,0.928330505722169,0.928330505722169,-0.0693147180559945,-0.0330296161382284,-0.0330296161382284,-0.103563748950672,-0.0493498490596647,-0.0493498490596647,-0.156064774826466,-0.0743674611942166,-0.0743674611942166
"42","Capricornis sumatraensis","Sumatran Serow","mammalia",TRUE,TRUE,"Decreasing","VU","A2cd",2555,6.99520876112252,3.50389048801824,1.68525345545091,1.68525345545091,4.90109037786124,2.3661802660969,2.3661802660969,6.51175273797047,3.15766942918758,3.15766942918758,0.964961095119818,0.983147465445491,0.983147465445491,0.950989096221388,0.976338197339031,0.976338197339031,0.934882472620295,0.968423305708124,0.968423305708124,-0.0356674943938732,-0.0169961543735971,-0.0169961543735971,-0.0502526820951295,-0.0239462389240001,-0.0239462389240001,-0.0673344553263765,-0.0320859880077744,-0.0320859880077744
"43","Caracal aurata","African Golden Cat","mammalia",FALSE,TRUE,"Decreasing","VU","A2c+3c",1825,4.99657768651609,3.50389048801824,2.35137563054822,2.35137563054822,4.90109037786124,3.29690080862926,3.29690080862926,6.51175273797047,4.39264016869589,4.39264016869589,0.964961095119818,0.976486243694518,0.976486243694518,0.950989096221388,0.967030991913707,0.967030991913707,0.934882472620295,0.956073598313041,0.956073598313041,-0.0356674943938732,-0.023794616123036,-0.023794616123036,-0.0502526820951295,-0.0335247344936001,-0.0335247344936001,-0.0673344553263765,-0.044920383210884,-0.044920383210884
"44","Cebus kaapori","Ka’apor Capuchin","mammalia",FALSE,TRUE,"Decreasing","CR","A2acd+3cd+4acd",5840,15.9890485968515,14.8660077479215,3.29962661194019,3.29962661194019,20.1786754970349,4.58994562664677,4.58994562664677,36.9042655519807,9.15421238430074,9.15421238430074,0.851339922520785,0.967003733880598,0.967003733880598,0.798213245029651,0.954100543733532,0.954100543733532,0.630957344480193,0.908457876156993,0.908457876156993,-0.16094379124341,-0.03355292223268,-0.03355292223268,-0.225379492882461,-0.0469862213329446,-0.0469862213329446,-0.46051701859881,-0.09600675858631,-0.09600675858631
